"host_percentage","model_optimization","run_time"
100,"none",3.66116655270259
100,"none",3.71385726531347
100,"none",3.6491047501564
100,"none",3.80522816578547
100,"none",9.56370584964752
100,"none",6.63685071806113
100,"none",4.06277954975764
100,"none",5.13733993371328
100,"none",5.14350105126699
100,"none",4.95164479811986
90,"none",4.41456110080083
90,"none",4.79997196594874
90,"none",4.59115939935048
90,"none",4.58626646995544
90,"none",4.63768639961878
90,"none",4.56485540072123
90,"none",4.70874336560567
90,"none",4.62516103188197
90,"none",3.33716641664505
90,"none",3.28768433332443
80,"none",3.17638433332443
80,"none",3.21156641664505
80,"none",3.45406474901835
80,"none",3.66746474901835
80,"none",4.31696868340174
80,"none",4.32125385204951
80,"none",4.32071464856466
80,"none",4.29413838386536
80,"none",4.26604928175608
80,"none",4.34177889823914
70,"none",3.92227133115133
70,"none",3.06886296669642
70,"none",3.14374700031281
70,"none",3.16164988320669
70,"none",3.14722116829554
70,"none",3.13259319903056
70,"none",3.21429310283661
70,"none",3.30096436780294
70,"none",3.40573985220591
70,"none",3.26032789986928
60,"none",3.04129460013707
60,"none",2.97523793137868
60,"none",3.00855013287862
60,"none",3.02061069962184
60,"none",3.02963239905039
60,"none",3.17276941693624
60,"none",3.0993609682401
60,"none",3.17876756744385
60,"none",3.38483728326162
60,"none",3.27889524854024
50,"none",2.93950700120926
50,"none",2.98968273557027
50,"none",3.00199341532389
50,"none",3.03581666704814
50,"none",3.00368884957631
50,"none",2.99806831833522
50,"none",2.99913871444066
50,"none",3.02235503352483
50,"none",3.00235554930369
50,"none",2.99626240091324
40,"none",2.76786308444341
40,"none",2.69812580105464
40,"none",2.73111134923299
40,"none",2.78395069993337
40,"none",2.7781152979215
40,"none",2.69698278264999
40,"none",2.70083538449605
40,"none",2.71159879919688
40,"none",2.69178191579183
40,"none",2.97856115258535
30,"none",2.73941209869385
30,"none",2.66757908023198
30,"none",2.67412724650701
30,"none",2.67105260051092
30,"none",2.66485330022176
30,"none",2.66104620056152
30,"none",2.67344536539714
30,"none",2.66540108677546
30,"none",2.93779114640554
30,"none",2.93680141525269
20,"none",2.92064868367513
20,"none",2.95625683224996
20,"none",2.54825803594589
20,"none",2.58073051926295
20,"none",2.51398978389104
20,"none",2.4687145526886
20,"none",2.5531254664739
20,"none",2.51835818049113
20,"none",2.52748151775996
20,"none",2.49117626504898
10,"none",2.49111658490499
10,"none",2.50167276617686
10,"none",2.49626289761861
10,"none",2.49567951914469
10,"none",2.49357774810791
10,"none",2.49187249895732
10,"none",2.5047308142662
10,"none",2.49076794939041
10,"none",2.49278853492737
10,"none",2.49090053396225
